#separator:Pipe          
#notetype:Latin Conjugation
#deck column:7
#columns:Verb|Conjugated Verb|Conjugation Meaning|Greek Sentence|English Sentence|Morphology|Deck
δίδωμι|δῶ|I might give|<v>δῶ</v> σοι τὸ δῶρον.|I might give you the gift.|1P sg. aor. act. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δῷς|you might give|<v>δῷς</v> αὐτῷ τὴν ἀπόκρισιν.|You might give him the answer.|2P sg. aor. act. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δῷ|he/she/it might give|<v>δῷ</v> ὁ διδάσκαλος τὴν διδαχήν.|The teacher might give the lesson.|3P sg. aor. act. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δῶμεν|we might give|<v>δῶμεν</v> τοῖς θεοῖς θυσίαν.|We might give sacrifice to the gods.|1P pl. aor. act. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δῶτε|you might give|<v>δῶτε</v> ἡμῖν ἐλπίδα.|You might give us hope.|2P pl. aor. act. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δῶσι(ν)|they might give|<v>δῶσι</v> οἱ θεοὶ εἰρήνην.|The gods might give peace.|3P pl. aor. act. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δῶτον|you both might give|<v>δῶτον</v> τὴν βοήθειαν.|You both might give help.|2P dual. aor. act. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δῶτον|they both might give|<v>δῶτον</v> τὼ ἄνδρε τὴν γνώμην.|The two men might give their opinion.|3P dual. aor. act. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δῶμαι|I might give (for myself)|<v>δῶμαι</v> τῇ σπουδῇ.|I might give myself to study.|1P sg. aor. mid. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δῷ|you might give (for yourself)|<v>δῷ</v> τῇ τέχνῃ.|You might give yourself to the craft.|2P sg. aor. mid. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δῶται|he/she/it might give (for self)|<v>δῶται</v> τῇ πόλει.|He might give himself to the city.|3P sg. aor. mid. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δώμεθα|we might give (for ourselves)|<v>δώμεθα</v> τῷ ἔργῳ.|We might give ourselves to the work.|1P pl. aor. mid. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δῶσθε|you might give (for selves)|<v>δῶσθε</v> τῇ ἀσκήσει.|You might give yourselves to training.|2P pl. aor. mid. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δῶνται|they might give (for selves)|<v>δῶνται</v> τῇ εὐσεβείᾳ.|They might give themselves to piety.|3P pl. aor. mid. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δῶσθον|you both might give (for selves)|<v>δῶσθον</v> τῇ φιλίᾳ.|You both might give yourselves to friendship.|2P dual. aor. mid. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δῶσθον|they both might give (for selves)|<v>δῶσθον</v> τὼ ἀδελφὼ τῇ ἀρετῇ.|The two brothers might give themselves to virtue.|3P dual. aor. mid. subj.|Greek Conjugation::4. δίδωμι
δίδωμι|δίδου|give!|<v>δίδου</v> τὸ βιβλίον τῷ παιδί.|Give the book to the child!|2P sg. pres. act. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δίδοτε|give! (plural)|<v>δίδοτε</v> τὰ δῶρα τοῖς θεοῖς.|Give the gifts to the gods!|2P pl. pres. act. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δίδοτον|give! (dual)|<v>δίδοτον</v> τὼ ἵππω τῷ ἀδελφῷ.|You two give the horses to the brother!|2P dual. pres. act. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δίδοσο|give yourself!|<v>δίδοσο</v> τῇ πόλει.|Give yourself to the city!|2P sg. pres. mid/pass. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δίδοσθε|give yourselves!|<v>δίδοσθε</v> τοῖς νόμοις.|Give yourselves to the laws!|2P pl. pres. mid/pass. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δίδοσθον|give yourselves! (dual)|<v>δίδοσθον</v> τῇ μάχῃ.|You two give yourselves to the battle!|2P dual. pres. mid/pass. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δός|give!|<v>δός</v> μοι τοῦτο.|Give me this!|2P sg. aor. act. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δότε|give! (plural)|<v>δότε</v> ἡμῖν σήμερον.|Give to us today!|2P pl. aor. act. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δότον|give! (dual)|<v>δότον</v> αὐτῷ τὸ ἀργύριον.|You two give him the money!|2P dual. aor. act. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δοῦ|give yourself!|<v>δοῦ</v> τῷ διδασκάλῳ.|Give yourself to the teacher!|2P sg. aor. mid. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δόσθε|give yourselves!|<v>δόσθε</v> τοῖς φίλοις.|Give yourselves to your friends!|2P pl. aor. mid. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δόσθον|give yourselves! (dual)|<v>δόσθον</v> τῇ σοφίᾳ.|You two give yourselves to wisdom!|2P dual. aor. mid. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δίδωθι|give!|<v>δίδωθι</v> τὴν χάριν.|Give the favor!|2P sg. pres. act. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|διδότω|let him/her give|<v>διδότω</v> ὁ πατὴρ τῷ υἱῷ.|Let the father give to the son!|3P sg. pres. act. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόντων|let them give|<v>διδόντων</v> οἱ πλούσιοι τοῖς πένησιν.|Let the rich give to the poor!|3P pl. pres. act. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόσθω|let him/her give himself/herself|<v>διδόσθω</v> ὁ στρατιώτης τῇ πατρίδι.|Let the soldier give himself to the fatherland!|3P sg. pres. mid/pass. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόσθων|let them give themselves|<v>διδόσθων</v> οἱ νέοι τῇ ἀρετῇ.|Let the young men give themselves to virtue!|3P pl. pres. mid/pass. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δότω|let him/her give|<v>δότω</v> τις τὴν ἀπόκρισιν.|Let someone give the answer!|3P sg. aor. act. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δόντων|let them give|<v>δόντων</v> οἱ θεοὶ τὴν νίκην.|Let the gods give victory!|3P pl. aor. act. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δόσθω|let him/her give himself/herself|<v>δόσθω</v> ὁ ἀνὴρ τῷ ἔργῳ.|Let the man give himself to the work!|3P sg. aor. mid. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|δόσθων|let them give themselves|<v>δόσθων</v> οἱ μαθηταὶ τῇ μελέτῃ.|Let the students give themselves to study!|3P pl. aor. mid. imp.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόναι|to give|ὁ ἄνθρωπος ἐθέλει <v>διδόναι</v> τὰ χρήματα.|The man wishes to give the money.|__ __ pres. act. inf.|Greek Conjugation::4. δίδωμι
δίδωμι|δίδοσθαι|to give (for oneself), to be given|βούλεται <v>δίδοσθαι</v> τὰ δῶρα.|He wants the gifts to be given.|__ __ pres. mid/pass. inf.|Greek Conjugation::4. δίδωμι
δίδωμι|δώσειν|to be about to give|ὑπισχνεῖται <v>δώσειν</v> τὸ βιβλίον.|He promises to give the book.|__ __ fut. act. inf.|Greek Conjugation::4. δίδωμι
δίδωμι|δώσεσθαι|to be about to give (for oneself)|λέγει <v>δώσεσθαι</v> τὰ ὅπλα.|He says he will give the weapons.|__ __ fut. mid. inf.|Greek Conjugation::4. δίδωμι
δίδωμι|δοθήσεσθαι|to be about to be given|τὰ χρήματα μέλλει <v>δοθήσεσθαι</v>.|The money is about to be given.|__ __ fut. pass. inf.|Greek Conjugation::4. δίδωμι
δίδωμι|δοῦναι|to give|ἐθέλω <v>δοῦναι</v> σοι τοῦτο.|I want to give this to you.|__ __ aor. act. inf.|Greek Conjugation::4. δίδωμι
δίδωμι|δόσθαι|to give (for oneself)|βούλεται <v>δόσθαι</v> τὴν θυγατέρα.|He wants to give his daughter in marriage.|__ __ aor. mid. inf.|Greek Conjugation::4. δίδωμι
δίδωμι|δοθῆναι|to be given|δεῖ ταῦτα <v>δοθῆναι</v>.|These things must be given.|__ __ aor. pass. inf.|Greek Conjugation::4. δίδωμι
δίδωμι|δεδωκέναι|to have given|φησὶ <v>δεδωκέναι</v> τὸ δῶρον.|He says he has given the gift.|__ __ perf. act. inf.|Greek Conjugation::4. δίδωμι
δίδωμι|δεδόσθαι|to have been given|τὸ ἀργύριον λέγεται <v>δεδόσθαι</v>.|The money is said to have been given.|__ __ perf. mid/pass. inf.|Greek Conjugation::4. δίδωμι
δίδωμι|διδούς|giving|ὁ ἀνὴρ <v>διδούς</v> τὸ δῶρον χαίρει.|The man giving the gift rejoices.|__ __ pres. act. part. masc. nom.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόντος|giving|τοῦ ἀνδρὸς <v>διδόντος</v> τὸ δῶρον ἐχάρην.|When the man gave the gift, I rejoiced.|__ __ pres. act. part. masc. gen.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόντι|giving|τῷ ἀνδρὶ <v>διδόντι</v> τὸ δῶρον ἐπίστευσα.|I trusted the man giving the gift.|__ __ pres. act. part. masc. dat.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόντα|giving|εἶδον τὸν ἄνδρα <v>διδόντα</v> τὸ δῶρον.|I saw the man giving the gift.|__ __ pres. act. part. masc. acc.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόντε|giving|τὼ ἄνδρε <v>διδόντε</v> τὰ δῶρα ἐθαύμασα.|I marveled at the two men giving the gifts.|__ __ pres. act. part. masc. nom. dual.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόντοιν|giving|τοῖν ἀνδροῖν <v>διδόντοιν</v> τὰ δῶρα ἐπίστευσα.|I trusted the two men giving the gifts.|__ __ pres. act. part. masc. gen. dual.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόντες|giving|οἱ ἄνδρες <v>διδόντες</v> τὰ δῶρα χαίρουσιν.|The men giving the gifts rejoice.|__ __ pres. act. part. masc. nom. pl.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόντων|giving|τῶν ἀνδρῶν <v>διδόντων</v> τὰ δῶρα ἐχάρην.|When the men gave the gifts, I rejoiced.|__ __ pres. act. part. masc. gen. pl.|Greek Conjugation::4. δίδωμι
δίδωμι|διδοῦσι|giving|τοῖς ἀνδράσι <v>διδοῦσι</v> τὰ δῶρα ἐπίστευσα.|I trusted the men giving the gifts.|__ __ pres. act. part. masc. dat. pl.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόντας|giving|εἶδον τοὺς ἄνδρας <v>διδόντας</v> τὰ δῶρα.|I saw the men giving the gifts.|__ __ pres. act. part. masc. acc. pl.|Greek Conjugation::4. δίδωμι
δίδωμι|διδοῦσα|giving|ἡ γυνὴ <v>διδοῦσα</v> τὸ δῶρον χαίρει.|The woman giving the gift rejoices.|__ __ pres. act. part. fem. nom.|Greek Conjugation::4. δίδωμι
δίδωμι|διδούσης|giving|τῆς γυναικὸς <v>διδούσης</v> τὸ δῶρον ἐχάρην.|When the woman gave the gift, I rejoiced.|__ __ pres. act. part. fem. gen.|Greek Conjugation::4. δίδωμι
δίδωμι|διδούσῃ|giving|τῇ γυναικὶ <v>διδούσῃ</v> τὸ δῶρον ἐπίστευσα.|I trusted the woman giving the gift.|__ __ pres. act. part. fem. dat.|Greek Conjugation::4. δίδωμι
δίδωμι|διδοῦσαν|giving|εἶδον τὴν γυναῖκα <v>διδοῦσαν</v> τὸ δῶρον.|I saw the woman giving the gift.|__ __ pres. act. part. fem. acc.|Greek Conjugation::4. δίδωμι
δίδωμι|διδούσα|giving|ὦ γύναι <v>διδούσα</v> τὸ δῶρον.|O woman giving the gift.|__ __ pres. act. part. fem. voc.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόν|giving|τὸ παιδίον <v>διδόν</v> τὸ δῶρον χαίρει.|The child giving the gift rejoices.|__ __ pres. act. part. neut. nom.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόντος|giving|τοῦ παιδίου <v>διδόντος</v> τὸ δῶρον ἐχάρην.|When the child gave the gift, I rejoiced.|__ __ pres. act. part. neut. gen.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόντι|giving|τῷ παιδίῳ <v>διδόντι</v> τὸ δῶρον ἐπίστευσα.|I trusted the child giving the gift.|__ __ pres. act. part. neut. dat.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόν|giving|εἶδον τὸ παιδίον <v>διδόν</v> τὸ δῶρον.|I saw the child giving the gift.|__ __ pres. act. part. neut. acc.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόμενος|being given|ὁ οἶνος <v>διδόμενος</v> ἡδύς ἐστιν.|The wine being given is sweet.|__ __ pres. mid/pass. part. masc. nom.|Greek Conjugation::4. δίδωμι
δίδωμι|διδομένου|being given|τοῦ οἴνου <v>διδομένου</v> πάντες ἔπιον.|When the wine was being given, everyone drank.|__ __ pres. mid/pass. part. masc. gen.|Greek Conjugation::4. δίδωμι
δίδωμι|διδομένῳ|being given|τῷ οἴνῳ <v>διδομένῳ</v> ἐχαίρομεν.|We rejoiced at the wine being given.|__ __ pres. mid/pass. part. masc. dat.|Greek Conjugation::4. δίδωμι
δίδωμι|διδόμενον|being given|εἶδον τὸν οἶνον <v>διδόμενον</v>.|I saw the wine being given.|__ __ pres. mid/pass. part. masc. acc.|Greek Conjugation::4. δίδωμι
δίδωμι|δώσων|about to give|ὁ ἀνὴρ <v>δώσων</v> τὸ δῶρον ἔρχεται.|The man about to give the gift comes.|__ __ fut. act. part. masc. nom.|Greek Conjugation::4. δίδωμι
δίδωμι|δώσοντος|about to give|τοῦ ἀνδρὸς <v>δώσοντος</v> τὸ δῶρον ἐχάρην.|When the man was about to give the gift, I rejoiced.|__ __ fut. act. part. masc. gen.|Greek Conjugation::4. δίδωμι
δίδωμι|δώσοντι|about to give|τῷ ἀνδρὶ <v>δώσοντι</v> τὸ δῶρον ἐπίστευσα.|I trusted the man who was about to give the gift.|__ __ fut. act. part. masc. dat.|Greek Conjugation::4. δίδωμι
δίδωμι|δώσοντα|about to give|εἶδον τὸν ἄνδρα <v>δώσοντα</v> τὸ δῶρον.|I saw the man who was about to give the gift.|__ __ fut. act. part. masc. acc.|Greek Conjugation::4. δίδωμι
δίδωμι|δούς|having given|ὁ ἀνὴρ <v>δούς</v> τὸ δῶρον ἀπῆλθεν.|The man, having given the gift, departed.|__ __ aor. act. part. masc. nom.|Greek Conjugation::4. δίδωμι
δίδωμι|δόντος|having given|τοῦ ἀνδρὸς <v>δόντος</v> τὸ δῶρον ἐχάρην.|When the man had given the gift, I rejoiced.|__ __ aor. act. part. masc. gen.|Greek Conjugation::4. δίδωμι
δίδωμι|δόντι|having given|τῷ ἀνδρὶ <v>δόντι</v> τὸ δῶρον ἐπίστευσα.|I trusted the man who had given the gift.|__ __ aor. act. part. masc. dat.|Greek Conjugation::4. δίδωμι
δίδωμι|δόντα|having given|εἶδον τὸν ἄνδρα <v>δόντα</v> τὸ δῶρον.|I saw the man who had given the gift.|__ __ aor. act. part. masc. acc.|Greek Conjugation::4. δίδωμι
δίδωμι|δεδωκώς|having given|ὁ ἀνὴρ <v>δεδωκώς</v> τὸ δῶρον χαίρει.|The man having given the gift rejoices.|__ __ perf. act. part. masc. nom.|Greek Conjugation::4. δίδωμι
δίδωμι|δεδωκότος|having given|τοῦ ἀνδρὸς <v>δεδωκότος</v> τὸ δῶρον ἐχάρην.|When the man had given the gift, I rejoiced.|__ __ perf. act. part. masc. gen.|Greek Conjugation::4. δίδωμι
δίδωμι|δεδωκότι|having given|τῷ ἀνδρὶ <v>δεδωκότι</v> τὸ δῶρον ἐπίστευσα.|I trusted the man who had given the gift.|__ __ perf. act. part. masc. dat.|Greek Conjugation::4. δίδωμι
δίδωμι|δεδωκότα|having given|εἶδον τὸν ἄνδρα <v>δεδωκότα</v> τὸ δῶρον.|I saw the man who had given the gift.|__ __ perf. act. part. masc. acc.|Greek Conjugation::4. δίδωμι
ποιέω|ποιῶ|I make/do|<v>ποιῶ</v> τὸ ἔργον.|I am doing the work.|1P sg. pres. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιεῖς|you make/do|<v>ποιεῖς</v> τὸ ἔργον.|You are doing the work.|2P sg. pres. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιεῖ|he/she/it makes/does|<v>ποιεῖ</v> τὸ ἔργον.|He is doing the work.|3P sg. pres. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιοῦμεν|we make/do|<v>ποιοῦμεν</v> τὸ ἔργον.|We are doing the work.|1P pl. pres. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιεῖτε|you make/do|<v>ποιεῖτε</v> τὸ ἔργον.|You are doing the work.|2P pl. pres. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιοῦσι(ν)|they make/do|<v>ποιοῦσι</v> τὸ ἔργον.|They are doing the work.|3P pl. pres. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιεῖτον|you both make/do|<v>ποιεῖτον</v> τὸ ἔργον.|You both are doing the work.|2P dual. pres. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιεῖτον|they both make/do|<v>ποιεῖτον</v> τὸ ἔργον.|They both are doing the work.|3P dual. pres. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιοῦμαι|I am made/done|<v>ποιοῦμαι</v> ὑπὸ τοῦ διδασκάλου.|I am being made by the teacher.|1P sg. pres. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιεῖ|you are made/done|<v>ποιεῖ</v> ὑπὸ τοῦ διδασκάλου.|You are being made by the teacher.|2P sg. pres. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιεῖται|he/she/it is made/done|<v>ποιεῖται</v> ὑπὸ τοῦ διδασκάλου.|It is being made by the teacher.|3P sg. pres. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιούμεθα|we are made/done|<v>ποιούμεθα</v> ὑπὸ τοῦ διδασκάλου.|We are being made by the teacher.|1P pl. pres. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιεῖσθε|you are made/done|<v>ποιεῖσθε</v> ὑπὸ τοῦ διδασκάλου.|You are being made by the teacher.|2P pl. pres. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιοῦνται|they are made/done|<v>ποιοῦνται</v> ὑπὸ τοῦ διδασκάλου.|They are being made by the teacher.|3P pl. pres. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιεῖσθον|you both are made/done|<v>ποιεῖσθον</v> ὑπὸ τοῦ διδασκάλου.|You both are being made by the teacher.|2P dual. pres. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιεῖσθον|they both are made/done|<v>ποιεῖσθον</v> ὑπὸ τοῦ διδασκάλου.|They both are being made by the teacher.|3P dual. pres. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποίουν|I was making/doing|<v>ἐποίουν</v> τὸ ἔργον.|I was doing the work.|1P sg. impf. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποίεις|you were making/doing|<v>ἐποίεις</v> τὸ ἔργον.|You were doing the work.|2P sg. impf. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποίει|he/she/it was making/doing|<v>ἐποίει</v> τὸ ἔργον.|He was doing the work.|3P sg. impf. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποιοῦμεν|we were making/doing|<v>ἐποιοῦμεν</v> τὸ ἔργον.|We were doing the work.|1P pl. impf. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποιεῖτε|you were making/doing|<v>ἐποιεῖτε</v> τὸ ἔργον.|You were doing the work.|2P pl. impf. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποίουν|they were making/doing|<v>ἐποίουν</v> τὸ ἔργον.|They were doing the work.|3P pl. impf. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποιεῖτον|you both were making/doing|<v>ἐποιεῖτον</v> τὸ ἔργον.|You both were doing the work.|2P dual. impf. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποιείτην|they both were making/doing|<v>ἐποιείτην</v> τὸ ἔργον.|They both were doing the work.|3P dual. impf. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποιούμην|I was being made/done|<v>ἐποιούμην</v> ὑπὸ τοῦ διδασκάλου.|I was being made by the teacher.|1P sg. impf. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποιοῦ|you were being made/done|<v>ἐποιοῦ</v> ὑπὸ τοῦ διδασκάλου.|You were being made by the teacher.|2P sg. impf. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποιεῖτο|he/she/it was being made/done|<v>ἐποιεῖτο</v> ὑπὸ τοῦ διδασκάλου.|It was being made by the teacher.|3P sg. impf. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποιούμεθα|we were being made/done|<v>ἐποιούμεθα</v> ὑπὸ τοῦ διδασκάλου.|We were being made by the teacher.|1P pl. impf. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποιεῖσθε|you were being made/done|<v>ἐποιεῖσθε</v> ὑπὸ τοῦ διδασκάλου.|You were being made by the teacher.|2P pl. impf. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποιοῦντο|they were being made/done|<v>ἐποιοῦντο</v> ὑπὸ τοῦ διδασκάλου.|They were being made by the teacher.|3P pl. impf. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποιεῖσθον|you both were being made/done|<v>ἐποιεῖσθον</v> ὑπὸ τοῦ διδασκάλου.|You both were being made by the teacher.|2P dual. impf. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποιείσθην|they both were being made/done|<v>ἐποιείσθην</v> ὑπὸ τοῦ διδασκάλου.|They both were being made by the teacher.|3P dual. impf. mid/pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσω|I will make/do|<v>ποιήσω</v> τὸ ἔργον.|I will do the work.|1P sg. fut. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσεις|you will make/do|<v>ποιήσεις</v> τὸ ἔργον.|You will do the work.|2P sg. fut. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσει|he/she/it will make/do|<v>ποιήσει</v> τὸ ἔργον.|He will do the work.|3P sg. fut. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσομεν|we will make/do|<v>ποιήσομεν</v> τὸ ἔργον.|We will do the work.|1P pl. fut. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσετε|you will make/do|<v>ποιήσετε</v> τὸ ἔργον.|You will do the work.|2P pl. fut. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσουσι(ν)|they will make/do|<v>ποιήσουσι</v> τὸ ἔργον.|They will do the work.|3P pl. fut. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσετον|you both will make/do|<v>ποιήσετον</v> τὸ ἔργον.|You both will do the work.|2P dual. fut. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσετον|they both will make/do|<v>ποιήσετον</v> τὸ ἔργον.|They both will do the work.|3P dual. fut. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσομαι|I will make for myself|<v>ποιήσομαι</v> τὸ ἔργον.|I will make the work for myself.|1P sg. fut. mid. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσει|you will make for yourself|<v>ποιήσει</v> τὸ ἔργον.|You will make the work for yourself.|2P sg. fut. mid. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσεται|he/she/it will make for oneself|<v>ποιήσεται</v> τὸ ἔργον.|He will make the work for himself.|3P sg. fut. mid. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιησόμεθα|we will make for ourselves|<v>ποιησόμεθα</v> τὸ ἔργον.|We will make the work for ourselves.|1P pl. fut. mid. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσεσθε|you will make for yourselves|<v>ποιήσεσθε</v> τὸ ἔργον.|You will make the work for yourselves.|2P pl. fut. mid. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσονται|they will make for themselves|<v>ποιήσονται</v> τὸ ἔργον.|They will make the work for themselves.|3P pl. fut. mid. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσεσθον|you both will make for yourselves|<v>ποιήσεσθον</v> τὸ ἔργον.|You both will make the work for yourselves.|2P dual. fut. mid. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιήσεσθον|they both will make for themselves|<v>ποιήσεσθον</v> τὸ ἔργον.|They both will make the work for themselves.|3P dual. fut. mid. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιηθήσομαι|I will be made/done|<v>ποιηθήσομαι</v> ὑπὸ τοῦ διδασκάλου.|I will be made by the teacher.|1P sg. fut. pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιηθήσει|you will be made/done|<v>ποιηθήσει</v> ὑπὸ τοῦ διδασκάλου.|You will be made by the teacher.|2P sg. fut. pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιηθήσεται|he/she/it will be made/done|<v>ποιηθήσεται</v> ὑπὸ τοῦ διδασκάλου.|It will be made by the teacher.|3P sg. fut. pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιηθησόμεθα|we will be made/done|<v>ποιηθησόμεθα</v> ὑπὸ τοῦ διδασκάλου.|We will be made by the teacher.|1P pl. fut. pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιηθήσεσθε|you will be made/done|<v>ποιηθήσεσθε</v> ὑπὸ τοῦ διδασκάλου.|You will be made by the teacher.|2P pl. fut. pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιηθήσονται|they will be made/done|<v>ποιηθήσονται</v> ὑπὸ τοῦ διδασκάλου.|They will be made by the teacher.|3P pl. fut. pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιηθήσεσθον|you both will be made/done|<v>ποιηθήσεσθον</v> ὑπὸ τοῦ διδασκάλου.|You both will be made by the teacher.|2P dual. fut. pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ποιηθήσεσθον|they both will be made/done|<v>ποιηθήσεσθον</v> ὑπὸ τοῦ διδασκάλου.|They both will be made by the teacher.|3P dual. fut. pass. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποίησα|I made/did|<v>ἐποίησα</v> τὸ ἔργον.|I made the work.|1P sg. aor. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποίησας|you made/did|<v>ἐποίησας</v> τὸ ἔργον.|You made the work.|2P sg. aor. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποίησε(ν)|he/she/it made/did|<v>ἐποίησε</v> τὸ ἔργον.|He made the work.|3P sg. aor. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποιήσαμεν|we made/did|<v>ἐποιήσαμεν</v> τὸ ἔργον.|We made the work.|1P pl. aor. act. ind.|Greek Conjugation::5. ποιέω
ποιέω|ἐποιήσατε|you made/did|<v>ἐποιήσατε</v> τὸ ἔργον.|You made the work.|2P pl. aor. act. ind.|Greek Conjugation::5. ποιέω
