#separator:Pipe          
#notetype:Latin Conjugation
#deck column:7
#columns:Verb|Conjugated Verb|Conjugation Meaning|Latin Sentence|English Sentence|Morphology|Deck
amō|ament|they may love|utinam cīvēs lēgēs <v>ament</v>.|Would that the citizens love the laws.|3P pl. pres. act. subj.|Conjugation::amō
amō|amer|I may be loved|utinam ab omnibus <v>amer</v>.|Would that I be loved by all.|1P sg. pres. pass. subj.|Conjugation::amō
amō|amēris|you may be loved|utinam ā populō <v>amēris</v>.|Would that you be loved by the people.|2P sg. pres. pass. subj.|Conjugation::amō
amō|amētur|he/she/it may be loved|utinam puer ā parentibus <v>amētur</v>.|Would that the boy be loved by his parents.|3P sg. pres. pass. subj.|Conjugation::amō
amō|amēmur|we may be loved|utinam ā cīvibus <v>amēmur</v>.|Would that we be loved by the citizens.|1P pl. pres. pass. subj.|Conjugation::amō
amō|amēminī|you all may be loved|utinam ā deīs <v>amēminī</v>.|Would that you all be loved by the gods.|2P pl. pres. pass. subj.|Conjugation::amō
amō|amentur|they may be loved|utinam bonī ā sapientibus <v>amentur</v>.|Would that the good be loved by the wise.|3P pl. pres. pass. subj.|Conjugation::amō
amō|amārem|I would love|<v>amārem</v> sī possem.|I would love if I could.|1P sg. impf. act. subj.|Conjugation::amō
amō|amārēs|you would love|<v>amārēs</v> sī scīrēs.|You would love if you knew.|2P sg. impf. act. subj.|Conjugation::amō
amō|amāret|he/she/it would love|puer <v>amāret</v> sī vidēret.|The boy would love if he saw.|3P sg. impf. act. subj.|Conjugation::amō
amō|amārēmus|we would love|<v>amārēmus</v> sī licēret.|We would love if it were permitted.|1P pl. impf. act. subj.|Conjugation::amō
amō|amārētis|you all would love|<v>amārētis</v> sī intellegerētis.|You all would love if you understood.|2P pl. impf. act. subj.|Conjugation::amō
amō|amārent|they would love|cīvēs <v>amārent</v> sī cognōscerent.|The citizens would love if they knew.|3P pl. impf. act. subj.|Conjugation::amō
amō|amārer|I would be loved|<v>amārer</v> sī bonus essem.|I would be loved if I were good.|1P sg. impf. pass. subj.|Conjugation::amō
amō|amārēris|you would be loved|<v>amārēris</v> sī manērēs.|You would be loved if you stayed.|2P sg. impf. pass. subj.|Conjugation::amō
amō|amārētur|he/she/it would be loved|puer <v>amārētur</v> sī studēret.|The boy would be loved if he studied.|3P sg. impf. pass. subj.|Conjugation::amō
amō|amārēmur|we would be loved|<v>amārēmur</v> sī fortēs essēmus.|We would be loved if we were brave.|1P pl. impf. pass. subj.|Conjugation::amō
amō|amārēminī|you all would be loved|<v>amārēminī</v> sī labōrārētis.|You all would be loved if you worked.|2P pl. impf. pass. subj.|Conjugation::amō
amō|amārentur|they would be loved|bonī <v>amārentur</v> sī adessent.|The good would be loved if they were present.|3P pl. impf. pass. subj.|Conjugation::amō
amō|amā|love!|<v>amā</v> patriam!|Love the homeland!|2P sg. pres. act. imp.|Conjugation::amō
amō|amāte|love! (plural)|<v>amāte</v> virtūtem!|Love virtue! (plural)|2P pl. pres. act. imp.|Conjugation::amō
amō|amāre|be loved!|<v>amāre</v> ā populō!|Be loved by the people!|2P sg. pres. pass. imp.|Conjugation::amō
amō|amāminī|be loved! (plural)|<v>amāminī</v> ā cīvibus!|Be loved by the citizens! (plural)|2P pl. pres. pass. imp.|Conjugation::amō
amō|amātō|you shall love|<v>amātō</v> patriam.|You shall love the homeland.|2P sg. fut. act. imp.|Conjugation::amō
amō|amātōte|you all shall love|<v>amātōte</v> virtūtem.|You all shall love virtue.|2P pl. fut. act. imp.|Conjugation::amō
amō|amātor|you shall be loved|<v>amātor</v> ā populō.|You shall be loved by the people.|2P sg. fut. pass. imp.|Conjugation::amō
amō|amāre|to love|volō tē <v>amāre</v>.|I want to love you.|__ __ pres. act. inf.|Conjugation::amō
amō|amārī|to be loved|cupiō <v>amārī</v> ab omnibus.|I desire to be loved by all.|__ __ pres. pass. inf.|Conjugation::amō
amō|amāvisse|to have loved|dīcit sē patriam <v>amāvisse</v>.|He says that he has loved the homeland.|__ __ perf. act. inf.|Conjugation::amō
amō|amātum esse|to have been loved|dīcit sē <v>amātum esse</v> ā populō.|He says that he has been loved by the people.|__ __ perf. pass. inf.|Conjugation::amō
amō|amātūrus esse|to be about to love|spērō mē tē <v>amātūrum esse</v>.|I hope that I am about to love you.|__ __ fut. act. inf.|Conjugation::amō
amō|amātum īrī|to be about to be loved|putō mē <v>amātum īrī</v> ā cīvibus.|I think that I am about to be loved by the citizens.|__ __ fut. pass. inf.|Conjugation::amō
amō|amāns|loving|<v>amāns</v> patriam vīvit.|Living loving his country.|__ __ pres. act. part.|Conjugation::amō
amō|amātūrus|about to love|<v>amātūrus</v> urbem vēnit.|He comes about to love the city.|__ __ fut. act. part.|Conjugation::amō
amō|amātum|to love (supine)|eō <v>amātum</v> patriam.|I go to love the homeland.|__ __ __ __ supine.|Conjugation::amō
amō|amandī|of loving|causā <v>amandī</v> vēnit.|He comes for the sake of loving.|__ __ __ __ gerund.|Conjugation::amō

habeō|habeō|I have|<v>habeō</v> librum.|I have a book.|1P sg. pres. act. ind.|Conjugation::habeō
habeō|habēs|you have|<v>habēs</v> multōs amīcōs.|You have many friends.|2P sg. pres. act. ind.|Conjugation::habeō
habeō|habet|he/she/it has|<v>habet</v> canem fidēlem.|He has a faithful dog.|3P sg. pres. act. ind.|Conjugation::habeō
habeō|habēmus|we have|<v>habēmus</v> spem.|We have hope.|1P pl. pres. act. ind.|Conjugation::habeō
habeō|habētis|you all have|<v>habētis</v> tempus.|You all have time.|2P pl. pres. act. ind.|Conjugation::habeō
habeō|habent|they have|<v>habent</v> cūram.|They have concern.|3P pl. pres. act. ind.|Conjugation::habeō
habeō|habēbar|I was being held|<v>habēbar</v> in carcere.|I was being held in prison.|1P sg. pres. pass. ind.|Conjugation::habeō
habeō|habēris|you are being held|<v>habēris</v> in magnō honōre.|You are being held in great honor.|2P sg. pres. pass. ind.|Conjugation::habeō
habeō|habētur|he/she/it is being held|<v>habētur</v> sapiēns.|He is considered wise.|3P sg. pres. pass. ind.|Conjugation::habeō
habeō|habēmur|we are being held|<v>habēmur</v> captīvī.|We are being held captive.|1P pl. pres. pass. ind.|Conjugation::habeō
habeō|habēminī|you all are being held|<v>habēminī</v> in memoriā.|You all are kept in memory.|2P pl. pres. pass. ind.|Conjugation::habeō
habeō|habentur|they are being held|<v>habentur</v> dignī.|They are considered worthy.|3P pl. pres. pass. ind.|Conjugation::habeō
habeō|habēbam|I was having|<v>habēbam</v> pecūniam.|I was having money.|1P sg. impf. act. ind.|Conjugation::habeō
habeō|habēbās|you were having|<v>habēbās</v> potestātem.|You were having power.|2P sg. impf. act. ind.|Conjugation::habeō
habeō|habēbat|he/she/it was having|<v>habēbat</v> vim.|He was having strength.|3P sg. impf. act. ind.|Conjugation::habeō
habeō|habēbāmus|we were having|<v>habēbāmus</v> fidem.|We were having faith.|1P pl. impf. act. ind.|Conjugation::habeō
habeō|habēbātis|you all were having|<v>habēbātis</v> cōpiam.|You all were having plenty.|2P pl. impf. act. ind.|Conjugation::habeō
habeō|habēbant|they were having|<v>habēbant</v> spem.|They were having hope.|3P pl. impf. act. ind.|Conjugation::habeō
habeō|habēbor|I will be held|<v>habēbor</v> in honōre.|I will be held in honor.|1P sg. fut. pass. ind.|Conjugation::habeō
habeō|habēberis|you will be held|<v>habēberis</v> grātus.|You will be considered welcome.|2P sg. fut. pass. ind.|Conjugation::habeō
habeō|habēbitur|he/she/it will be held|<v>habēbitur</v> cārus.|He will be held dear.|3P sg. fut. pass. ind.|Conjugation::habeō
habeō|habēbimur|we will be held|<v>habēbimur</v> fortēs.|We will be considered brave.|1P pl. fut. pass. ind.|Conjugation::habeō
habeō|habēbiminī|you all will be held|<v>habēbiminī</v> amīcī.|You all will be considered friends.|2P pl. fut. pass. ind.|Conjugation::habeō
habeō|habēbuntur|they will be held|<v>habēbuntur</v> hostēs.|They will be considered enemies.|3P pl. fut. pass. ind.|Conjugation::habeō
habeō|habuī|I had|<v>habuī</v> spem.|I had hope.|1P sg. perf. act. ind.|Conjugation::habeō
habeō|habuistī|you had|<v>habuistī</v> cūram.|You had concern.|2P sg. perf. act. ind.|Conjugation::habeō
habeō|habuit|he/she/it had|<v>habuit</v> glōriam.|He had glory.|3P sg. perf. act. ind.|Conjugation::habeō
habeō|habuimus|we had|<v>habuimus</v> fortūnam.|We had fortune.|1P pl. perf. act. ind.|Conjugation::habeō
habeō|habuistis|you all had|<v>habuistis</v> victōriam.|You all had victory.|2P pl. perf. act. ind.|Conjugation::habeō
habeō|habuērunt|they had|<v>habuērunt</v> labōrem.|They had work.|3P pl. perf. act. ind.|Conjugation::habeō
habeō|habitus sum|I was held|<v>habitus sum</v> dignus.|I was considered worthy.|1P sg. perf. pass. ind.|Conjugation::habeō
habeō|habitus es|you were held|<v>habitus es</v> fortis.|You were considered brave.|2P sg. perf. pass. ind.|Conjugation::habeō
habeō|habitus est|he/she/it was held|<v>habitus est</v> sapiēns.|He was considered wise.|3P sg. perf. pass. ind.|Conjugation::habeō
habeō|habitī sumus|we were held|<v>habitī sumus</v> amīcī.|We were considered friends.|1P pl. perf. pass. ind.|Conjugation::habeō
habeō|habitī estis|you all were held|<v>habitī estis</v> hostēs.|You all were considered enemies.|2P pl. perf. pass. ind.|Conjugation::habeō
habeō|habitī sunt|they were held|<v>habitī sunt</v> dignī.|They were considered worthy.|3P pl. perf. pass. ind.|Conjugation::habeō
habeō|habueram|I had had|<v>habueram</v> spem.|I had had hope.|1P sg. plup. act. ind.|Conjugation::habeō
habeō|habuerās|you had had|<v>habuerās</v> cūram.|You had had concern.|2P sg. plup. act. ind.|Conjugation::habeō
habeō|habuerat|he/she/it had had|<v>habuerat</v> glōriam.|He had had glory.|3P sg. plup. act. ind.|Conjugation::habeō
habeō|habuerāmus|we had had|<v>habuerāmus</v> fortūnam.|We had had fortune.|1P pl. plup. act. ind.|Conjugation::habeō
habeō|habuerātis|you all had had|<v>habuerātis</v> victōriam.|You all had had victory.|2P pl. plup. act. ind.|Conjugation::habeō
habeō|habuerant|they had had|<v>habuerant</v> labōrem.|They had had work.|3P pl. plup. act. ind.|Conjugation::habeō
habeō|habitus eram|I had been held|<v>habitus eram</v> dignus.|I had been considered worthy.|1P sg. plup. pass. ind.|Conjugation::habeō
habeō|habitus erās|you had been held|<v>habitus erās</v> fortis.|You had been considered brave.|2P sg. plup. pass. ind.|Conjugation::habeō
habeō|habitus erat|he/she/it had been held|<v>habitus erat</v> sapiēns.|He had been considered wise.|3P sg. plup. pass. ind.|Conjugation::habeō
habeō|habitī erāmus|we had been held|<v>habitī erāmus</v> amīcī.|We had been considered friends.|1P pl. plup. pass. ind.|Conjugation::habeō
habeō|habitī erātis|you all had been held|<v>habitī erātis</v> hostēs.|You all had been considered enemies.|2P pl. plup. pass. ind.|Conjugation::habeō
habeō|habitī erant|they had been held|<v>habitī erant</v> dignī.|They had been considered worthy.|3P pl. plup. pass. ind.|Conjugation::habeō
habeō|habeam|I may have|<v>habeam</v> spem.|May I have hope.|1P sg. pres. act. subj.|Conjugation::habeō
habeō|habeās|you may have|<v>habeās</v> cūram.|May you have concern.|2P sg. pres. act. subj.|Conjugation::habeō
habeō|habeat|he/she/it may have|<v>habeat</v> glōriam.|May he have glory.|3P sg. pres. act. subj.|Conjugation::habeō
habeō|habeāmus|we may have|<v>habeāmus</v> fortūnam.|May we have fortune.|1P pl. pres. act. subj.|Conjugation::habeō
habeō|habeātis|you all may have|<v>habeātis</v> victōriam.|May you all have victory.|2P pl. pres. act. subj.|Conjugation::habeō
habeō|habeant|they may have|<v>habeant</v> labōrem.|May they have work.|3P pl. pres. act. subj.|Conjugation::habeō
habeō|habear|I may be held|<v>habear</v> dignus.|May I be considered worthy.|1P sg. pres. pass. subj.|Conjugation::habeō
habeō|habeāris|you may be held|<v>habeāris</v> fortis.|May you be considered brave.|2P sg. pres. pass. subj.|Conjugation::habeō
habeō|habeātur|he/she/it may be held|<v>habeātur</v> sapiēns.|May he be considered wise.|3P sg. pres. pass. subj.|Conjugation::habeō
habeō|habeāmur|we may be held|<v>habeāmur</v> amīcī.|May we be considered friends.|1P pl. pres. pass. subj.|Conjugation::habeō
habeō|habeāminī|you all may be held|<v>habeāminī</v> hostēs.|May you all be considered enemies.|2P pl. pres. pass. subj.|Conjugation::habeō
habeō|habeantur|they may be held|<v>habeantur</v> dignī.|May they be considered worthy.|3P pl. pres. pass. subj.|Conjugation::habeō
habeō|habērem|I would have|<v>habērem</v> spem.|I would have hope.|1P sg. impf. act. subj.|Conjugation::habeō
habeō|habērēs|you would have|<v>habērēs</v> cūram.|You would have concern.|2P sg. impf. act. subj.|Conjugation::habeō
habeō|habēret|he/she/it would have|<v>habēret</v> glōriam.|He would have glory.|3P sg. impf. act. subj.|Conjugation::habeō
habeō|habērēmus|we would have|<v>habērēmus</v> fortūnam.|We would have fortune.|1P pl. impf. act. subj.|Conjugation::habeō
habeō|habērētis|you all would have|<v>habērētis</v> victōriam.|You all would have victory.|2P pl. impf. act. subj.|Conjugation::habeō
habeō|habērent|they would have|<v>habērent</v> labōrem.|They would have work.|3P pl. impf. act. subj.|Conjugation::habeō
habeō|habē|have!|<v>habē</v> cūram!|Have concern!|2P sg. pres. act. imp.|Conjugation::habeō
habeō|habēte|have! (plural)|<v>habēte</v> spem!|Have hope! (plural)|2P pl. pres. act. imp.|Conjugation::habeō
habeō|habētō|you shall have|<v>habētō</v> fidem.|You shall have faith.|2P sg. fut. act. imp.|Conjugation::habeō
habeō|habētōte|you all shall have|<v>habētōte</v> patientiam.|You all shall have patience.|2P pl. fut. act. imp.|Conjugation::habeō
habeō|habēre|to have|Bonum est <v>habēre</v> amīcōs.|It is good to have friends.|__ __ pres. act. inf.|Conjugation::habeō
habeō|habuisse|to have had|Dīcit sē spem <v>habuisse</v>.|He says that he had hope.|__ __ perf. act. inf.|Conjugation::habeō
habeō|habitūrus esse|to be about to have|Vidētur <v>habitūrus esse</v> fortūnam.|He seems about to have fortune.|__ __ fut. act. inf.|Conjugation::habeō
habeō|habēns|having|<v>habēns</v> spem vīvit.|Having hope, he lives.|__ __ pres. act. part.|Conjugation::habeō
habeō|habitūrus|about to have|<v>habitūrus</v> glōriam vēnit.|About to have glory, he came.|__ __ fut. act. part.|Conjugation::habeō
habeō|habendī|of having|Ars <v>habendī</v> amīcōs.|The art of having friends.|__ __ __ __ gerund.|Conjugation::habeō
habeō|habitum|to hold|Vēnit <v>habitum</v> conventum.|He came to hold a meeting.|__ __ __ __ supine.|Conjugation::habeō

agō|agō|I drive|<v>agō</v> equōs per campum|I drive horses through the field|1P sg. pres. act. ind.|Conjugation::agō
agō|agis|you drive|<v>agis</v> pecus ad aquam|you drive the herd to water|2P sg. pres. act. ind.|Conjugation::agō
agō|agit|he/she/it drives|pāstor <v>agit</v> ovēs|the shepherd drives the sheep|3P sg. pres. act. ind.|Conjugation::agō
agō|agimus|we drive|nōs <v>agimus</v> currūs|we drive the chariots|1P pl. pres. act. ind.|Conjugation::agō
agō|agitis|you all drive|vōs <v>agitis</v> capellās|you all drive the goats|2P pl. pres. act. ind.|Conjugation::agō
agō|agunt|they drive|agricolae bovēs <v>agunt</v>|the farmers drive the cattle|3P pl. pres. act. ind.|Conjugation::agō
agō|agor|I am driven|<v>agor</v> in exsilium|I am driven into exile|1P sg. pres. pass. ind.|Conjugation::agō
agō|ageris|you are driven|<v>ageris</v> ventō|you are driven by the wind|2P sg. pres. pass. ind.|Conjugation::agō
agō|agitur|he/she/it is driven|navis <v>agitur</v> fluctibus|the ship is driven by the waves|3P sg. pres. pass. ind.|Conjugation::agō
agō|agimur|we are driven|<v>agimur</v> fatō|we are driven by fate|1P pl. pres. pass. ind.|Conjugation::agō
agō|agiminī|you all are driven|<v>agiminī</v> timōre|you all are driven by fear|2P pl. pres. pass. ind.|Conjugation::agō
agō|aguntur|they are driven|equī <v>aguntur</v> per viam|the horses are driven along the road|3P pl. pres. pass. ind.|Conjugation::agō
agō|agēbam|I was driving|<v>agēbam</v> currūs celeriter|I was driving the chariots swiftly|1P sg. impf. act. ind.|Conjugation::agō
agō|agēbās|you were driving|tū <v>agēbās</v> gregem|you were driving the flock|2P sg. impf. act. ind.|Conjugation::agō
agō|agēbat|he/she/it was driving|dux exercitum <v>agēbat</v>|the leader was driving the army|3P sg. impf. act. ind.|Conjugation::agō
agō|agēbāmus|we were driving|<v>agēbāmus</v> pecora|we were driving the cattle|1P pl. impf. act. ind.|Conjugation::agō
agō|agēbātis|you all were driving|<v>agēbātis</v> equōs|you all were driving the horses|2P pl. impf. act. ind.|Conjugation::agō
agō|agēbant|they were driving|servī pecūs <v>agēbant</v>|the slaves were driving the livestock|3P pl. impf. act. ind.|Conjugation::agō
agō|agēbar|I was being driven|<v>agēbar</v> in fugam|I was being driven to flight|1P sg. impf. pass. ind.|Conjugation::agō
agō|agēbāris|you were being driven|<v>agēbāris</v> procellā|you were being driven by the storm|2P sg. impf. pass. ind.|Conjugation::agō
agō|agēbātur|he/she/it was being driven|ratis <v>agēbātur</v> ventīs|the raft was being driven by the winds|3P sg. impf. pass. ind.|Conjugation::agō
agō|agēbāmur|we were being driven|<v>agēbāmur</v> in exsilium|we were being driven into exile|1P pl. impf. pass. ind.|Conjugation::agō
agō|agēbāminī|you all were being driven|<v>agēbāminī</v> mētū|you all were being driven by fear|2P pl. impf. pass. ind.|Conjugation::agō
agō|agēbantur|they were being driven|hostēs <v>agēbantur</v> in fugam|the enemies were being driven to flight|3P pl. impf. pass. ind.|Conjugation::agō
agō|agam|I will drive|crās equōs <v>agam</v>|tomorrow I will drive the horses|1P sg. fut. act. ind.|Conjugation::agō
agō|agēs|you will drive|tū gregem <v>agēs</v>|you will drive the flock|2P sg. fut. act. ind.|Conjugation::agō
agō|aget|he/she/it will drive|pāstor ovēs <v>aget</v>|the shepherd will drive the sheep|3P sg. fut. act. ind.|Conjugation::agō
agō|agēmus|we will drive|nōs currūs <v>agēmus</v>|we will drive the chariots|1P pl. fut. act. ind.|Conjugation::agō
agō|agētis|you all will drive|vōs pecora <v>agētis</v>|you all will drive the cattle|2P pl. fut. act. ind.|Conjugation::agō
agō|agent|they will drive|agricolae bovēs <v>agent</v>|the farmers will drive the cattle|3P pl. fut. act. ind.|Conjugation::agō
agō|agar|I will be driven|<v>agar</v> in exsilium|I will be driven into exile|1P sg. fut. pass. ind.|Conjugation::agō
agō|agēris|you will be driven|<v>agēris</v> ventō|you will be driven by the wind|2P sg. fut. pass. ind.|Conjugation::agō
agō|agētur|he/she/it will be driven|navis <v>agētur</v> fluctibus|the ship will be driven by the waves|3P sg. fut. pass. ind.|Conjugation::agō
agō|agēmur|we will be driven|<v>agēmur</v> fatō|we will be driven by fate|1P pl. fut. pass. ind.|Conjugation::agō
agō|agēminī|you all will be driven|<v>agēminī</v> timōre|you all will be driven by fear|2P pl. fut. pass. ind.|Conjugation::agō
agō|agentur|they will be driven|equī <v>agentur</v> per viam|the horses will be driven along the road|3P pl. fut. pass. ind.|Conjugation::agō
agō|ēgī|I drove/have driven|<v>ēgī</v> currūs per urbem|I drove chariots through the city|1P sg. perf. act. ind.|Conjugation::agō
agō|ēgistī|you drove/have driven|tū pecūs <v>ēgistī</v>|you drove the cattle|2P sg. perf. act. ind.|Conjugation::agō
agō|ēgit|he/she/it drove/has driven|dux exercitum <v>ēgit</v>|the leader drove the army|3P sg. perf. act. ind.|Conjugation::agō
agō|ēgimus|we drove/have driven|<v>ēgimus</v> equōs|we drove the horses|1P pl. perf. act. ind.|Conjugation::agō
agō|ēgistis|you all drove/have driven|vōs gregem <v>ēgistis</v>|you all drove the flock|2P pl. perf. act. ind.|Conjugation::agō
agō|ēgērunt|they drove/have driven|mīlitēs captīvōs <v>ēgērunt</v>|the soldiers drove the captives|3P pl. perf. act. ind.|Conjugation::agō
agō|āctus sum|I was/have been driven|<v>āctus sum</v> in exsilium|I was driven into exile|1P sg. perf. pass. ind.|Conjugation::agō
agō|āctus es|you were/have been driven|<v>āctus es</v> procellā|you were driven by the storm|2P sg. perf. pass. ind.|Conjugation::agō
agō|āctus est|he/she/it was/has been driven|navis <v>ācta est</v> ventīs|the ship was driven by the winds|3P sg. perf. pass. ind.|Conjugation::agō
agō|āctī sumus|we were/have been driven|<v>āctī sumus</v> in fugam|we were driven to flight|1P pl. perf. pass. ind.|Conjugation::agō
agō|āctī estis|you all were/have been driven|<v>āctī estis</v> mētū|you all were driven by fear|2P pl. perf. pass. ind.|Conjugation::agō
agō|āctī sunt|they were/have been driven|hostēs <v>āctī sunt</v> in fugam|the enemies were driven to flight|3P pl. perf. pass. ind.|Conjugation::agō
agō|ēgeram|I had driven|iam equōs <v>ēgeram</v>|I had already driven the horses|1P sg. plup. act. ind.|Conjugation::agō
agō|ēgerās|you had driven|tū gregem <v>ēgerās</v>|you had driven the flock|2P sg. plup. act. ind.|Conjugation::agō
agō|ēgerat|he/she/it had driven|pāstor ovēs <v>ēgerat</v>|the shepherd had driven the sheep|3P sg. plup. act. ind.|Conjugation::agō
agō|ēgerāmus|we had driven|nōs currūs <v>ēgerāmus</v>|we had driven the chariots|1P pl. plup. act. ind.|Conjugation::agō
agō|ēgerātis|you all had driven|vōs pecora <v>ēgerātis</v>|you all had driven the cattle|2P pl. plup. act. ind.|Conjugation::agō
agō|ēgerant|they had driven|agricolae bovēs <v>ēgerant</v>|the farmers had driven the cattle|3P pl. plup. act. ind.|Conjugation::agō
agō|āctus eram|I had been driven|<v>āctus eram</v> in exsilium|I had been driven into exile|1P sg. plup. pass. ind.|Conjugation::agō
agō|āctus erās|you had been driven|<v>āctus erās</v> ventō|you had been driven by the wind|2P sg. plup. pass. ind.|Conjugation::agō
agō|āctus erat|he/she/it had been driven|navis <v>ācta erat</v> fluctibus|the ship had been driven by the waves|3P sg. plup. pass. ind.|Conjugation::agō
agō|āctī erāmus|we had been driven|<v>āctī erāmus</v> fatō|we had been driven by fate|1P pl. plup. pass. ind.|Conjugation::agō
agō|āctī erātis|you all had been driven|<v>āctī erātis</v> timōre|you all had been driven by fear|2P pl. plup. pass. ind.|Conjugation::agō
agō|āctī erant|they had been driven|equī <v>āctī erant</v> per viam|the horses had been driven along the road|3P pl. plup. pass. ind.|Conjugation::agō
agō|ēgerō|I will have driven|ante noctem equōs <v>ēgerō</v>|I will have driven the horses before night|1P sg. futperf. act. ind.|Conjugation::agō
agō|ēgeris|you will have driven|tū gregem <v>ēgeris</v>|you will have driven the flock|2P sg. futperf. act. ind.|Conjugation::agō
agō|ēgerit|he/she/it will have driven|pāstor ovēs <v>ēgerit</v>|the shepherd will have driven the sheep|3P sg. futperf. act. ind.|Conjugation::agō
agō|ēgerimus|we will have driven|nōs currūs <v>ēgerimus</v>|we will have driven the chariots|1P pl. futperf. act. ind.|Conjugation::agō
agō|ēgeritis|you all will have driven|vōs pecora <v>ēgeritis</v>|you all will have driven the cattle|2P pl. futperf. act. ind.|Conjugation::agō
agō|ēgerint|they will have driven|agricolae bovēs <v>ēgerint</v>|the farmers will have driven the cattle|3P pl. futperf. act. ind.|Conjugation::agō
agō|āctus erō|I will have been driven|<v>āctus erō</v> in exsilium|I will have been driven into exile|1P sg. futperf. pass. ind.|Conjugation::agō
agō|āctus eris|you will have been driven|<v>āctus eris</v> ventō|you will have been driven by the wind|2P sg. futperf. pass. ind.|Conjugation::agō
agō|āctus erit|he/she/it will have been driven|navis <v>ācta erit</v> fluctibus|the ship will have been driven by the waves|3P sg. futperf. pass. ind.|Conjugation::agō
agō|āctī erimus|we will have been driven|<v>āctī erimus</v> fatō|we will have been driven by fate|1P pl. futperf. pass. ind.|Conjugation::agō
agō|āctī eritis|you all will have been driven|<v>āctī eritis</v> timōre|you all will have been driven by fear|2P pl. futperf. pass. ind.|Conjugation::agō
agō|āctī erunt|they will have been driven|equī <v>āctī erunt</v> per viam|the horses will have been driven along the road|3P pl. futperf. pass. ind.|Conjugation::agō
agō|agam|I may drive|utinam equōs <v>agam</v>|if only I may drive the horses|1P sg. pres. act. subj.|Conjugation::agō
agō|agās|you may drive|utinam gregem <v>agās</v>|if only you may drive the flock|2P sg. pres. act. subj.|Conjugation::agō
agō|agat|he/she/it may drive|utinam pāstor ovēs <v>agat</v>|if only the shepherd may drive the sheep|3P sg. pres. act. subj.|Conjugation::agō
agō|agāmus|we may drive|utinam currūs <v>agāmus</v>|if only we may drive the chariots|1P pl. pres. act. subj.|Conjugation::agō
agō|agātis|you all may drive|utinam pecora <v>agātis</v>|if only you all may drive the cattle|2P pl. pres. act. subj.|Conjugation::agō
agō|agant|they may drive|utinam agricolae bovēs <v>agant</v>|if only the farmers may drive the cattle|3P pl. pres. act. subj.|Conjugation::agō
agō|agar|I may be driven|utinam nē <v>agar</v> in exsilium|if only I may not be driven into exile|1P sg. pres. pass. subj.|Conjugation::agō
agō|agāris|you may be driven|utinam nē <v>agāris</v> ventō|if only you may not be driven by the wind|2P sg. pres. pass. subj.|Conjugation::agō
agō|agātur|he/she/it may be driven|utinam navis nē <v>agātur</v> fluctibus|if only the ship may not be driven by the waves|3P sg. pres. pass. subj.|Conjugation::agō
agō|agāmur|we may be driven|utinam nē <v>agāmur</v> fatō|if only we may not be driven by fate|1P pl. pres. pass. subj.|Conjugation::agō
agō|agāminī|you all may be driven|utinam nē <v>agāminī</v> timōre|if only you all may not be driven by fear|2P pl. pres. pass. subj.|Conjugation::agō
agō|agantur|they may be driven|utinam equī nē <v>agantur</v> per viam|if only the horses may not be driven along the road|3P pl. pres. pass. subj.|Conjugation::agō
agō|agerem|I would drive|sī possem, equōs <v>agerem</v>|if I could, I would drive the horses|1P sg. impf. act. subj.|Conjugation::agō
agō|agerēs|you would drive|sī possēs, gregem <v>agerēs</v>|if you could, you would drive the flock|2P sg. impf. act. subj.|Conjugation::agō
agō|ageret|he/she/it would drive|sī posset, pāstor ovēs <v>ageret</v>|if he could, the shepherd would drive the sheep|3P sg. impf. act. subj.|Conjugation::agō
agō|agerēmus|we would drive|sī possēmus, currūs <v>agerēmus</v>|if we could, we would drive the chariots|1P pl. impf. act. subj.|Conjugation::agō
agō|agerētis|you all would drive|sī possētis, pecora <v>agerētis</v>|if you could, you all would drive the cattle|2P pl. impf. act. subj.|Conjugation::agō
agō|agerent|they would drive|sī possent, agricolae bovēs <v>agerent</v>|if they could, the farmers would drive the cattle|3P pl. impf. act. subj.|Conjugation::agō
agō|agerer|I would be driven|sī necesse esset, <v>agerer</v> in exsilium|if it were necessary, I would be driven into exile|1P sg. impf. pass. subj.|Conjugation::agō
agō|agerēris|you would be driven|sī necesse esset, <v>agerēris</v> ventō|if it were necessary, you would be driven by the wind|2P sg. impf. pass. subj.|Conjugation::agō
agō|agerētur|he/she/it would be driven|sī necesse esset, navis <v>agerētur</v> fluctibus|if it were necessary, the ship would be driven by the waves|3P sg. impf. pass. subj.|Conjugation::agō
agō|agerēmur|we would be driven|sī necesse esset, <v>agerēmur</v> fatō|if it were necessary, we would be driven by fate|1P pl. impf. pass. subj.|Conjugation::agō
agō|agerēminī|you all would be driven|sī necesse esset, <v>agerēminī</v> timōre|if it were necessary, you all would be driven by fear|2P pl. impf. pass. subj.|Conjugation::agō
agō|agerentur|they would be driven|sī necesse esset, equī <v>agerentur</v> per viam|if it were necessary, the horses would be driven along the road|3P pl. impf. pass. subj.|Conjugation::agō
agō|ēgerim|I may have driven|forsitan equōs <v>ēgerim</v>|perhaps I may have driven the horses|1P sg. perf. act. subj.|Conjugation::agō
agō|ēgerīs|you may have driven|forsitan gregem <v>ēgerīs</v>|perhaps you may have driven the flock|2P sg. perf. act. subj.|Conjugation::agō
